NCM,Excecao,Descricao,Aliquota
8441.30.90,,Outras ,0
8441.40.00,,"- Máquinas de moldar artigos de pasta de papel, papel ou cartão ",0
8441.80.00,,- Outras máquinas e aparelhos ,0
8441.90.00,,- Partes ,"3,25"
84.42,,"Máquinas, aparelhos e equipamentos (exceto as máquinas das posições 84.56 a 84.65), para preparação ou fabricação de clichês, placas, cilindros ou outros elementos de impressão; clichês, placas, cilindros e outros elementos de impressão; pedras litográficas, placas e cilindros, preparados para impressão (por exemplo, aplainados, granulados ou polidos).",
8442.3,,"- Máquinas, aparelhos e equipamentos",
8442.30.10,,De compor por processo fotográfico ,0
8442.30.20,,"De compor caracteres tipográficos por outros processos, mesmo com dispositivo de fundir ",0
8442.30.90,,Outros ,0
8442.4,,"- Partes dessas máquinas, aparelhos e equipamentos",
8442.40.10,,De máquinas do item 8442.30.10 ,"3,25"
8442.40.20,,De máquinas do item 8442.30.20 ,"3,25"
8442.40.90,,Outras ,"3,25"
8442.50.00,,"- Clichês, placas, cilindros e outros elementos de impressão; pedras litográficas, placas e cilindros, preparados para impressão (por exemplo, aplainados, granulados ou polidos) ","3,25"
84.43,,"Máquinas e aparelhos de impressão por meio de placas, cilindros e outros elementos de impressão da posição 84.42; outras impressoras, aparelhos de copiar e aparelhos de telecopiar (fax), mesmo combinados entre si; partes e acessórios.",
8443.1,,"- Máquinas e aparelhos de impressão por meio de placas, cilindros e outros elementos de impressão da posição 84.42:",
8443.11,,"-- Máquinas e aparelhos de impressão, por ofsete, alimentados por bobinas",
8443.11.10,,"Para impressão multicolor de jornais, de largura igual ou superior a 900 mm, com unidades de impressão em configuração torre e dispositivos automáticos de emendar bobinas ",0
8443.11.90,,Outros ,0
8443.12.00,,"-- Máquinas e aparelhos de impressão, por ofsete, do tipo utilizado em escritórios, alimentados por folhas em que um lado não seja superior a 22 cm e que o outro não seja superior a 36 cm, quando não dobradas ",0
8443.13,,"-- Outras máquinas e aparelhos de impressão, por ofsete",
8443.13.10,,"Para impressão multicolor de recipientes de matérias plásticas, cilíndricos, cônicos ou de faces planas ",0
8443.13.2,,"Alimentados por folhas de formato inferior ou igual a 37,5 cm x 51 cm",
8443.13.21,,Com velocidade de impressão igual ou superior a 12.000 folhas por hora ,0
8443.13.29,,Outros ,0
8443.13.90,,Outros ,0
8443.14.00,,"-- Máquinas e aparelhos de impressão, tipográficos, alimentados por bobinas, excluindo as máquinas e aparelhos flexográficos ",0
8443.15.00,,"-- Máquinas e aparelhos de impressão, tipográficos, não alimentados por bobinas, excluindo as máquinas e aparelhos flexográficos ",0
8443.16.00,,"-- Máquinas e aparelhos de impressão, flexográficos ",0
8443.17,,"-- Máquinas e aparelhos de impressão, heliográficos",
8443.17.10,,Rotativas para heliogravura ,0
8443.17.90,,Outros ,0
8443.19,,-- Outros,
8443.19.10,,Para serigrafia ,0
8443.19.90,,Outros ,0
8443.3,,"- Outras impressoras, aparelhos de copiar e aparelhos de telecopiar (fax), mesmo combinados entre si:",
8443.31,,"-- Máquinas que executem pelo menos duas das seguintes funções: impressão, cópia ou transmissão de
telecópia (fax), capazes de ser conectadas a uma máquina automática para processamento de dados
ou a uma rede",
8443.31.1,,"Alimentadas por folhas, com velocidade de impressão, medida no formato A4 (210 mm x 297 mm), inferior ou igual a 45 páginas por minuto (ppm)",
8443.31.11,,"De jato de tinta líquida, com largura de impressão inferior ou igual a 420 mm ","9,75"
8443.31.12,,"De transferência térmica de cera sólida (por exemplo, solid ink e dye sublimation) ","9,75"
8443.31.13,,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão inferior ou igual a 280 mm ","9,75"
8443.31.14,,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão superior a 280 mm, mas não superior a 420 mm ","9,75"
8443.31.15,,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), policromáticas ","9,75"
8443.31.16,,"Outras, com largura de impressão superior a 420 mm ","9,75"
8443.31.19,,Outras ,"9,75"
8443.31.9,,Outras,
8443.31.91,,Com impressão por sistema térmico ,"9,75"
8443.31.99,,Outras ,"9,75"
8443.32,,"-- Outros, capazes de ser conectados a uma máquina automática para processamento de dados ou a uma rede",
8443.32.2,,Impressoras de impacto,
8443.32.21,,De linha ,"9,75"
8443.32.22,,De caracteres Braille ,0
8443.32.23,,Outras matriciais (por pontos) ,"9,75"
8443.32.29,,Outras ,"9,75"
8443.32.3,,"Outras impressoras, alimentadas por folhas, com velocidade de impressão, medida no formato A4 (210 mm x 297 mm), inferior ou igual a 45 páginas por minuto (ppm)",
8443.32.31,,"De jato de tinta líquida, com largura de impressão inferior ou igual a 420 mm ","9,75"
8443.32.32,,"De transferência térmica de cera sólida (por exemplo, solid ink e dye sublimation) ",15
8443.32.33,,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão inferior ou igual a 280 mm ","9,75"
8443.32.34,,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), monocromáticas, com largura de impressão superior a 280 mm, mas não superior a 420 mm ","9,75"
8443.32.35,,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), policromáticas, com velocidade de impressão inferior ou igual a 20 páginas por minuto (ppm) ","9,75"
8443.32.36,,"A laser, LED (Diodos Emissores de Luz) ou LCS (Sistema de Cristal Líquido), policromáticas, com velocidade de impressão superior a 20 páginas por minuto (ppm) ","9,75"
8443.32.37,,"Térmicas, do tipo utilizado em impressão de imagens para diagnóstico médico em folhas revestidas com camada termossensível ","9,75"
8443.32.38,,"Outras, com largura de impressão superior a 420 mm ","9,75"
8443.32.39,,Outras ,"9,75"
8443.32.40,,Outras impressoras alimentadas por folhas ,"9,75"
8443.32.5,,Traçadores gráficos (plotters),
8443.32.51,,Por meio de penas ,"9,75"
8443.32.52,,"Outros, com largura de impressão superior a 580 mm ","9,75"
8443.32.59,,Outros ,"9,75"
8443.32.9,,Outros,
8443.32.91,,"Impressoras de código de barras postais, tipo 3 em 5, a jato de tinta fluorescente, com velocidade de até 4,5 m/s e passo de 1,4 mm ","9,75"
8443.32.99,,Outros,15
8443.39,,-- Outros,
8443.39.10,,Máquinas de impressão por jato de tinta ,0
8443.39.2,,Máquinas copiadoras eletrostáticas,
8443.39.21,,"De reprodução da imagem do original sobre a cópia por meio de um suporte intermediário (processo indireto), monocromáticas, para cópias de superfície inferior ou igual a 1 m2, com velocidade inferior a 100 cópias por minuto ",13
8443.39.28,,"Outras, por processo indireto ",13
8443.39.29,,Outras ,13
8443.39.30,,Outras máquinas copiadoras ,13
8443.39.90,,Outros ,13
8443.9,,- Partes e acessórios:,
8443.91,,"-- Partes e acessórios de máquinas e aparelhos de impressão por meio de blocos, cilindros e outros elementos de impressão da posição 84.42",
8443.91.10,,De máquinas e aparelhos da subposição 8443.12 ,"3,25"
8443.91.9,,Outros,
8443.91.91,,Dobradoras ,0
8443.91.92,,Numeradores automáticos ,0
8443.91.99,,Outros ,0
8443.99,,-- Outros,
8443.99.1,,"Mecanismos de impressão por impacto, suas partes e acessórios",
8443.99.11,,"Mecanismos de impressão, mesmo sem cabeça de impressão incorporada ","6,5"
8443.99.12,,Cabeças de impressão ,"6,5"
8443.99.19,,Outros ,"6,5"
8443.99.2,,"Mecanismos de impressão por jato de tinta, suas partes e acessórios",
8443.99.21,,"Mecanismos de impressão, mesmo sem cabeça de impressão incorporada ","6,5"
8443.99.22,,Cabeças de impressão ,"3,25"
8443.99.23,,Cartuchos de tinta ,"3,25"
8443.99.29,,Outros ,"6,5"
8443.99.3,,"Mecanismos de impressão a laser, a LED (Diodos Emissores de Luz) ou a LCS (Sistema de Cristal Líquido), suas partes e acessórios",
8443.99.31,,"Mecanismos de impressão, mesmo sem cilindro fotossensível incorporado ","3,25"
8443.99.32,,Cilindros recobertos de matéria semicondutora fotoelétrica ,"3,25"
8443.99.33,,Cartuchos de revelador (toners) ,"3,25"
8443.99.39,,Outros ,"6,5"
8443.99.4,,"Mecanismos de impressão por sistema térmico, suas partes e acessórios",
8443.99.41,,"Mecanismos de impressão, mesmo sem cabeça de impressão incorporada ","6,5"
8443.99.42,,Cabeças de impressão ,"3,25"
8443.99.49,,Outros ,"6,5"
8443.99.50,,"Outros mecanismos de impressão, suas partes e acessórios ","6,5"
8443.99.60,,"Circuitos impressos com componentes elétricos ou eletrônicos, montados ","9,75"
8443.99.70,,"Bandejas e gavetas, suas partes e acessórios ","6,5"
8443.99.80,,"Mecanismos de alimentação ou de triagem de papéis ou documentos, suas partes e acessórios ","6,5"
8443.99.90,,Outros ,"6,5"
8444,,"Máquinas para extrudar, estirar, texturizar ou cortar matérias têxteis sintéticas ou artificiais.",
8444.00.10,,Para extrudar ,0
8444.00.20,,Para corte ou ruptura de fibras ,0
8444.00.90,,Outras ,0
84.45,,"Máquinas para preparação de matérias têxteis; máquinas para fiação, dobragem ou torção, de matérias têxteis e outras máquinas e aparelhos para fabricação de fios têxteis; máquinas de bobinar (incluindo as bobinadoras de trama) ou de dobar matérias têxteis e máquinas para preparação de fios têxteis para a sua utilização nas máquinas das posições 84.46 ou 84.47.",
8445.1,,- Máquinas para preparação de matérias têxteis:,
8445.11,,-- Cardas,
8445.11.10,,Para lã ,0
8445.11.20,,Para fibras do Capítulo 53 ,0
8445.11.90,,Outras ,0
8445.12.00,,-- Penteadoras ,0
8445.13.00,,-- Bancos de estiramento (fusos) ,0
8445.19,,-- Outras,
8445.19.10,,Máquinas para a preparação da seda ,0
8445.19.2,,Máquinas para a preparação de outras matérias têxteis,
8445.19.21,,"Para recuperação de cordas, fios, trapos ou qualquer outro desperdício, transformando-os em fibras adequadas para cardagem ",0
8445.19.22,,Descaroçadeiras e deslintadeiras de algodão ,0
8445.19.23,,"Para desengordurar, lavar, alvejar ou tingir fibras têxteis em massa ou rama ",0
8445.19.24,,Abridoras de fibras de lã ,0
8445.19.25,,Abridoras de fibras do Capítulo 53 ,0
8445.19.26,,Máquinas de carbonizar a lã ,0
8445.19.27,,Para estirar a lã ,0
8445.19.29,,Outras ,0
8445.20.00,,- Máquinas para fiação de matérias têxteis ,0
8445.3,,"- Máquinas para dobragem ou torção, de matérias têxteis",
8445.30.10,,Retorcedeiras ,0
8445.30.90,,Outras ,0
8445.4,,- Máquinas de bobinar (incluindo as bobinadoras de trama) ou de dobar matérias têxteis,
8445.40.1,,Bobinadoras automáticas,
8445.40.11,,Bobinadoras de trama (espuladeiras) ,0
8445.40.12,,Para fios elastanos ,0
8445.40.18,,"Outras, com atador automático ",0
8445.40.19,,Outras ,0
8445.40.2,,Bobinadoras não automáticas,
8445.40.21,,Com velocidade de bobinado igual ou superior a 4.000 m/min ,0
8445.40.29,,Outras ,0
8445.40.3,,Meadeiras,
8445.40.31,,Com controle de comprimento ou peso e atador automático ,0
8445.40.39,,Outras ,0
8445.40.40,,Noveleiras automáticas ,0
8445.40.90,,Outras ,0
8445.9,,- Outras,
8445.90.10,,Urdideiras ,0
8445.90.20,,Passadeiras para liço e pente ,0
8445.90.30,,Para amarrar urdideiras ,0
8445.90.40,,"Automáticas, para colocar lamelas ",0
8445.90.90,,Outras ,0
84.46,,Teares para tecidos.,
8446.1,,- Para tecidos de largura não superior a 30 cm,
8446.10.10,,Com mecanismo Jacquard ,0
8446.10.90,,Outros ,0
8446.2,,"- Para tecidos de largura superior a 30 cm, de lançadeiras:",
8446.21.00,,-- A motor ,0
8446.29.00,,-- Outros ,0
8446.3,,"- Para tecidos de largura superior a 30 cm, sem lançadeiras",
8446.30.10,,A jato de ar ,0
8446.30.20,,A jato de água ,0
8446.30.30,,De projétil ,0
8446.30.40,,De pinças ,0
8446.30.90,,Outros ,0
84.47,,"Teares para fabricar malhas, máquinas de costura por entrelaçamento (couture-tricotage), máquinas para fabricar guipuras, tules, rendas, bordados, passamanarias, galões ou redes e máquinas para inserir tufos.",
8447.1,,- Teares circulares para malhas:,
8447.11.00,,-- Com cilindro de diâmetro não superior a 165 mm ,0
8447.12.00,,-- Com cilindro de diâmetro superior a 165 mm ,0
8447.2,,- Teares retilíneos para malhas; máquinas de costura por entrelaçamento (couture-tricotage),
8447.20.10,,Teares manuais ,0
8447.20.2,,Teares motorizados,
8447.20.21,,Para fabricação de malhas de urdidura ,0
8447.20.29,,Outros ,0
8447.20.30,,Máquinas de costura por entrelaçamento (couture-tricotage) ,0
8447.9,,- Outros,
8447.90.10,,"Máquinas para fabricação de redes, tules ou filós ",0
8447.90.20,,Máquinas automáticas para bordar ,0
8447.90.90,,Outras ,0
84.48,,"Máquinas e aparelhos auxiliares para as máquinas das posições 84.44, 84.45, 84.46 ou 84.47 (por exemplo, ratieras (maquinetas*), mecanismos Jacquard, quebra-urdiduras e quebra-tramas, mecanismos troca-lançadeiras); partes e acessórios reconhecíveis como exclusiva ou principalmente destinados às máquinas da presente posição ou das posições 84.44, 84.45, 84.46 ou 84.47 (por exemplo, fusos, aletas, guarnições de cardas, pentes, barras, fieiras, lançadeiras, liços e quadros de liços, agulhas, platinas, ganchos).",
8448.1,,"- Máquinas e aparelhos auxiliares para as máquinas das posições 84.44, 84.45, 84.46 ou 84.47:",
8448.11,,"-- Ratieras (Maquinetas*) e mecanismos Jacquard; redutores, perfuradores e copiadores de cartões; máquinas para enlaçar cartões após perfuração",
8448.11.10,,Ratieras ,0
8448.11.20,,Mecanismos Jacquard ,0
8448.11.90,,Outros ,0
8448.19.00,,-- Outros ,"3,25"
8448.2,,- Partes e acessórios das máquinas da posição 84.44 ou das suas máquinas e aparelhos auxiliares,
8448.20.10,,Fieiras para a extrusão ,"3,25"
8448.20.20,,Outras partes e acessórios de máquinas para a extrusão ,"3,25"
8448.20.30,,De máquinas para corte ou ruptura de fibras ,"3,25"
8448.20.90,,Outras ,"3,25"
8448.3,,- Partes e acessórios das máquinas da posição 84.45 ou das suas máquinas e aparelhos auxiliares:,
8448.31.00,,-- Guarnições de cardas ,0
8448.32,,"-- De máquinas para preparação de matérias têxteis, exceto as guarnições de cardas",
8448.32.1,,De cardas,
8448.32.11,,Chapéus (flats) ,"3,25"
8448.32.19,,Outras ,"3,25"
8448.32.20,,De penteadoras ,"3,25"
8448.32.30,,De bancas de estiramento (bancas de fusos) ,"3,25"
8448.32.40,,De máquinas para a preparação da seda ,"3,25"
8448.32.50,,De máquinas para carbonizar lã ,"3,25"
8448.32.90,,Outros ,"3,25"
8448.33,,"-- Fusos e suas aletas, anéis e cursores",
8448.33.10,,Cursores ,"3,25"
8448.33.90,,Outros ,"3,25"
8448.39,,-- Outros,
8448.39.1,,"De máquinas para fiação, dobragem ou torção",
8448.39.11,,De filatórios intermitentes (selfatinas) ,"3,25"
8448.39.12,,De máquinas do tipo tow-to-yarn ,"3,25"
8448.39.17,,De outros filatórios ,"3,25"
8448.39.19,,Outras ,"3,25"
8448.39.2,,De máquinas de bobinar ou de dobar,
8448.39.21,,De bobinadoras de trama (espuladeiras) ,"3,25"
8448.39.22,,"De bobinadoras automáticas para fios elastanos, ou com atador automático ","3,25"
8448.39.23,,"Outras, de bobinadoras automáticas ","3,25"
8448.39.29,,Outras ,"3,25"
8448.39.9,,Outros,
8448.39.91,,De urdideiras ,"3,25"
8448.39.92,,De passadeiras para liço e pente ,"3,25"
8448.39.99,,Outras ,"3,25"
8448.4,,- Partes e acessórios de teares para tecidos ou das suas máquinas e aparelhos auxiliares:,
8448.42.00,,"-- Pentes, liços e quadros de liços ",0
8448.49,,-- Outros,
8448.49.10,,De máquinas ou aparelhos auxiliares de teares ,"3,25"
8448.49.20,,"De teares para tecidos de largura superior a 30 cm, sem lançadeiras, a jato de água ou de projétil ","3,25"
8448.49.90,,Outras ,"3,25"
8448.5,,"- Partes e acessórios dos teares, máquinas ou aparelhos, da posição 84.47 ou das suas máquinas e aparelhos auxiliares:",
8448.51,,"-- Platinas, agulhas e outros artigos, utilizados na formação das malhas",
8448.51.10,,Platinas ,"3,25"
8448.51.90,,Outros ,"3,25"
8448.59,,-- Outros,
8448.59.10,,De teares circulares para malhas ,"3,25"
8448.59.2,,De teares retilíneos,
8448.59.21,,Manuais ,"3,25"
8448.59.22,,Para fabricação de malhas de urdidura ,"3,25"
8448.59.29,,Outras ,"3,25"
8448.59.30,,"De máquinas para fabricação de redes, tules ou filós, ou automáticas para bordar ","3,25"
8448.59.40,,De máquinas do item 8447.90.90 ,"3,25"
8448.59.90,,Outras ,"3,25"
8449,,"Máquinas e aparelhos para fabricação ou acabamento de feltro ou de falsos tecidos (tecidos não tecidos), em peça ou em forma determinada, incluindo as máquinas e aparelhos para fabricação de chapéus de feltro; formas para chapelaria.",
8449.00.10,,Máquinas e aparelhos para fabricação ou acabamento de feltros ,0
8449.00.20,,Máquinas e aparelhos para fabricação de falsos tecidos (tecidos não tecidos) ,0
8449.00.80,,Outros ,0
8449.00.9,,Partes,
8449.00.91,,De máquinas ou aparelhos para fabricação de falsos tecidos (tecidos não tecidos) ,"3,25"
8449.00.99,,Outras ,"3,25"
84.5,,"Máquinas de lavar roupa, mesmo com dispositivos de secagem.",
8450.1,,"- Máquinas de capacidade, expressa em peso de roupa seca, não superior a 10 kg:",
8450.11.00,,-- Máquinas inteiramente automáticas ,"3,25"
8450.11.00,01,De uso doméstico,13
8450.12.00,,"-- Outras máquinas, com secador centrífugo incorporado ","3,25"
8450.12.00,01,De uso doméstico,13
8450.19.00,,-- Outras ,"3,25"
8450.19.00,01,De uso doméstico,"6,5"
8450.2,,"- Máquinas de capacidade, expressa em peso de roupa seca, superior a 10 kg",
8450.20.10,,Túneis contínuos ,"3,25"
8450.20.20,,"Outras máquinas, de capacidade não superior a 18 kg",13
8450.20.90,,Outras ,13
8450.20.90,01,"De capacidade, expressa em peso de roupa seca, superior a 20 Kg",0
8450.9,,- Partes,
8450.90.10,,De máquinas da subposição 8450.20 ,13
8450.90.90,,Outras ,13
84.51,,"Máquinas e aparelhos (exceto as máquinas da posição 84.50) para lavar, limpar, espremer, secar, passar, prensar (incluindo as prensas de transferência térmica ou de fusão), branquear, tingir, para apresto e acabamento, para revestir ou impregnar fios, tecidos ou obras de matérias têxteis e máquinas para revestir tecidos-base ou outros suportes utilizados na fabricação de revestimentos para pisos (pavimentos), tais como linóleo; máquinas para enrolar, desenrolar, dobrar, cortar ou dentear tecidos.",
8451.10.00,,- Máquinas para lavar a seco ,0
8451.2,,- Máquinas de secar:,
8451.21.00,,"-- De capacidade, expressa em peso de roupa seca, não superior a 10 kg ","3,25"
8451.21.00,01,De uso doméstico,13
8451.29,,-- Outras,
8451.29.10,,"Que funcionem por meio de ondas eletromagnéticas (micro-ondas), cuja produção seja igual ou superior a 120 kg/h de produto seco ",0
8451.29.90,,Outras ,0
8451.3,,"- Máquinas e prensas para passar, incluindo as prensas de transferência térmica ou de fusão",
8451.30.10,,Automáticas ,0
8451.30.9,,Outras,
8451.30.91,,Prensas para passar de peso inferior ou igual a 14 kg ,"3,25"
8451.30.99,,Outras ,0
8451.4,,"- Máquinas para lavar, branquear ou tingir",
8451.40.10,,Para lavar ,0
8451.40.2,,Para tingir ou branquear fios ou tecidos,
8451.40.21,,"Para tingir tecidos em rolos; para tingir por pressão estática, com molinete (rotor de pás), jato de
água (jet) ou combinada ",0
8451.40.29,,Outras ,0
8451.40.90,,Outras ,0
8451.5,,"- Máquinas para enrolar, desenrolar, dobrar, cortar ou dentear tecidos",
8451.50.10,,Para inspecionar tecidos ,0
8451.50.20,,"Automáticas, para enfestar ou cortar ",0
8451.50.90,,Outras ,0
8451.80.00,,- Outras máquinas e aparelhos ,0
8451.80.00,01,De uso doméstico,"7,8"
8451.9,,- Partes,
8451.90.10,,Para as máquinas da subposição 8451.21 ,"3,25"
8451.90.90,,Outras ,"3,25"
84.52,,"Máquinas de costura, exceto as de costurar cadernos da posição 84.40; móveis, bases e tampas, próprios para máquinas de costura; agulhas para máquinas de costura.",
8452.10.00,,- Máquinas de costura de uso doméstico ,"1,95"
8452.2,,- Outras máquinas de costura:,
8452.21,,-- Unidades automáticas,
8452.21.10,,Para costurar couros ou peles ,0
8452.21.20,,Para costurar tecidos ,0
8452.21.90,,Outras ,0
8452.29,,-- Outras,
8452.29.10,,Para costurar couros ou peles ,0
8452.29.2,,Para costurar tecidos,
8452.29.21,,Remalhadeiras ,0
8452.29.22,,Para casear ,0
8452.29.23,,Tipo zigue-zague para inserir elástico ,0
8452.29.24,,De costura reta ,0
8452.29.25,,Galoneiras ,0
8452.29.29,,Outras ,0
8452.29.90,,Outras ,0
8452.30.00,,- Agulhas para máquinas de costura ,"3,25"
8452.9,,"- Móveis, bases e tampas, para máquinas de costura, e suas partes; outras partes de máquinas de costura",
8452.90.20,,"Móveis, bases e tampas, para máquinas de costura, e suas partes ","3,25"
8452.90.20,01,Para máquinas de costura de uso doméstico,"1,95"
8452.90.8,,Outras partes de máquinas de costura de uso doméstico,
8452.90.81,,"Guia-fios, lançadeiras e porta-bobinas ","3,25"
8452.90.89,,Outras ,"3,25"
8452.90.9,,Outras,
8452.90.91,,"Guia-fios, lançadeiras não rotativas e porta-bobinas ","3,25"
8452.90.92,,Para remalhadeiras ,"3,25"
8452.90.93,,Lançadeiras rotativas ,"3,25"
8452.90.94,,Corpos moldados por fundição ,"3,25"
8452.90.99,,Outras ,"3,25"
84.53,,"Máquinas e aparelhos para preparar, curtir ou trabalhar couros ou peles, ou para fabricar ou consertar calçado e outras obras de couro ou de pele, exceto máquinas de costura.",
8453.1,,"- Máquinas e aparelhos para preparar, curtir ou trabalhar couros ou peles",
8453.10.10,,"Máquinas para dividir couros com largura útil inferior ou igual a 3.000 mm, com lâmina sem fim, com controle eletrônico programável ",0
8453.10.90,,Outros ,0
8453.20.00,,- Máquinas e aparelhos para fabricar ou consertar calçado ,0
8453.80.00,,- Outras máquinas e aparelhos ,0
8453.90.00,,- Partes ,0
84.54,,"Conversores, cadinhos ou colheres de fundição, lingoteiras e máquinas de vazar (moldar), para metalurgia, aciaria ou fundição.",
8454.10.00,,- Conversores ,0
8454.2,,- Lingoteiras e cadinhos ou colheres de fundição,
8454.20.10,,Lingoteiras ,0
8454.20.90,,Outras ,0
8454.3,,- Máquinas de vazar (moldar),
8454.30.10,,Sob pressão ,0
8454.30.20,,Por centrifugação ,0
8454.30.90,,Outras ,0
8454.9,,- Partes,
8454.90.10,,De máquinas de vazar (moldar) por centrifugação ,"3,25"
8454.90.90,,Outras ,0
84.55,,Laminadores de metais e seus cilindros.,
8455.10.00,,- Laminadores de tubos ,0
8455.2,,- Outros laminadores:,
8455.21,,-- Laminadores a quente e laminadores combinados a quente e a frio,
8455.21.10,,De cilindros lisos ,0
8455.21.90,,Outros ,0
8455.22,,-- Laminadores a frio,
8455.22.10,,De cilindros lisos ,0
8455.22.90,,Outros ,0
8455.3,,- Cilindros de laminadores,
8455.30.10,,"Fundidos, de aço ou ferro fundido nodular ",0
8455.30.20,,"Forjados, de aço de corte rápido, com um teor, em peso, de carbono igual ou superior a 0,80 % e inferior ou igual a 0,90 %, de cromo igual ou superior a 3,50 % e inferior ou igual a 4 %, de vanádio igual ou superior a 1,60 % e inferior ou igual a 2,30 %, de molibdênio inferior ou igual a 8,50 % e de tungstênio (volfrâmio) inferior ou igual a 7 % ",0
8455.30.90,,Outros ,0
8455.90.00,,- Outras partes ,"3,25"
84.56,,"Máquinas-ferramentas que trabalhem por eliminação de qualquer matéria, que operem por laser ou por outro feixe de luz ou de fótons, por ultrassom, por eletroerosão, por processos eletroquímicos, por feixes de elétrons, por feixes iônicos ou por jato de plasma; máquinas de corte a jato de água.",
8456.1,,- Que operem por laser ou por outro feixe de luz ou de fótons:,
8456.11,,-- Que operem por laser,
8456.11.1,,De comando numérico,
8456.11.11,,Para corte de chapas metálicas de espessura superior a 8 mm ,0
8456.11.19,,Outras ,0
8456.11.90,,Outras ,0
8456.12,,-- Que operem por outro feixe de luz ou de fótons,
8456.12.1,,De comando numérico,
8456.12.11,,Para corte de chapas metálicas de espessura superior a 8 mm ,0
8456.12.19,,Outras ,0
8456.12.90,,Outras ,0
8456.2,,- Que operem por ultrassom,
8456.20.10,,De comando numérico ,0
8456.20.90,,Outras ,0
8456.3,,- Que operem por eletroerosão,
8456.30.1,,De comando numérico,
8456.30.11,,Para texturizar superfícies cilíndricas ,0
8456.30.19,,Outras ,0
8456.30.90,,Outras ,0
8456.40.00,,- Que operem por jato de plasma ,0
8456.50.00,,- Máquinas de corte a jato de água ,0
8456.90.00,,- Outras ,0
84.57,,"Centros de usinagem (fabricação*), máquinas de sistema monostático (single station) e máquinas de estações múltiplas, para trabalhar metais.",
8457.10.00,,- Centros de usinagem (fabricação*) ,0
8457.2,,- Máquinas de sistema monostático (single station),
8457.20.10,,De comando numérico ,0
8457.20.90,,Outras ,0
8457.3,,- Máquinas de estações múltiplas,
8457.30.10,,De comando numérico ,0
8457.30.90,,Outras ,0
84.58,,Tornos (incluindo os centros de torneamento) para metais.,
8458.1,,- Tornos horizontais:,
8458.11,,-- De comando numérico,
8458.11.10,,Revólver ,0
8458.11.9,,Outros,
8458.11.91,,De 6 ou mais fusos porta-peças ,0
8458.11.99,,Outros ,0
8458.19,,-- Outros,
8458.19.10,,Revólver ,0
8458.19.90,,Outros ,0
8458.9,,- Outros tornos:,
8458.91.00,,-- De comando numérico ,0
8458.99.00,,-- Outros ,0
84.59,,"Máquinas-ferramentas (incluindo as unidades com cabeça deslizante) para furar, mandrilar, fresar, roscar interior ou exteriormente metais, por eliminação de matéria, exceto os tornos (incluindo os centros de torneamento) da posição 84.58.",
8459.10.00,,- Unidades com cabeça deslizante ,0
8459.2,,- Outras máquinas para furar:,
8459.21,,-- De comando numérico,
8459.21.10,,Radiais ,0
8459.21.9,,Outras,
8459.21.91,,De mais de um cabeçote mono ou multifuso ,0
8459.21.99,,Outras ,0
8459.29.00,,-- Outras ,0
8459.3,,- Outras mandriladoras-fresadoras:,
8459.31.00,,-- De comando numérico ,0
8459.39.00,,-- Outras ,0
8459.4,,- Outras máquinas para mandrilar:,
8459.41.00,,-- De comando numérico ,0
8459.49.00,,-- Outras ,0
8459.5,,"- Máquinas para fresar, de console:",
8459.51.00,,-- De comando numérico ,0
8459.59.00,,-- Outras ,0
8459.6,,- Outras máquinas para fresar:,
8459.61.00,,-- De comando numérico ,0
8459.69.00,,-- Outras ,0
8459.70.00,,- Outras máquinas para roscar interior ou exteriormente ,0
84.6,,"Máquinas-ferramentas para rebarbar, afiar, amolar, retificar, brunir, polir ou realizar outras operações de acabamento em metais ou cermets por meio de mós, de abrasivos ou de produtos polidores, exceto as máquinas de cortar ou acabar engrenagens da posição 84.61.",
8460.1,,- Máquinas para retificar superfícies planas:,
8460.12.00,,-- De comando numérico ,0
8460.19.00,,-- Outras ,0
8460.2,,- Outras máquinas para retificar:,
8460.22.00,,"-- Máquinas para retificar sem centro, de comando numérico ",0
8460.23.00,,"-- Outras máquinas para retificar superfícies cilíndricas, de comando numérico ",0
8460.24.00,,"-- Outras, de comando numérico ",0
8460.29.00,,-- Outras ,0
8460.3,,- Máquinas para afiar:,
8460.31.00,,-- De comando numérico ,0
8460.39.00,,-- Outras ,0
8460.4,,- Máquinas para brunir,
8460.40.1,,De comando numérico,
8460.40.11,,Brunidoras para cilindros de diâmetro inferior ou igual a 312 mm ,0
8460.40.19,,Outras ,0
8460.40.9,,Outras,
8460.40.91,,Brunidoras para cilindros de diâmetro inferior ou igual a 312 mm ,0
8460.40.99,,Outras ,0
8460.9,,- Outras,
8460.90.1,,De comando numérico,
8460.90.11,,"De polir, com cinco ou mais cabeças e porta -peças rotativo ",0
8460.90.12,,"De esmerilhar, com duas ou mais cabeças e porta-peças rotativo ",0
